frameId	detectionId	distance	projX	projY	projZ
0	nan	0.0	0.0	0.0	0.0
1	nan	0.0	0.0	0.0	0.0
2	nan	0.0	0.0	0.0	0.0
3	nan	0.0	0.0	0.0	0.0
4	nan	0.0	0.0	0.0	0.0
5	nan	0.0	0.0	0.0	0.0
6	nan	0.0	0.0	0.0	0.0
7	nan	0.0	0.0	0.0	0.0
8	nan	0.0	0.0	0.0	0.0
9	nan	0.0	0.0	0.0	0.0
10	nan	0.0	0.0	0.0	0.0
11	nan	0.0	0.0	0.0	0.0
12	nan	0.0	0.0	0.0	0.0
13	nan	0.0	0.0	0.0	0.0
14	nan	0.0	0.0	0.0	0.0
15	nan	0.0	0.0	0.0	0.0
16	nan	0.0	0.0	0.0	0.0
17	nan	0.0	0.0	0.0	0.0
18	nan	0.0	0.0	0.0	0.0
19	nan	0.0	0.0	0.0	0.0
20	nan	0.0	0.0	0.0	0.0
21	nan	0.0	0.0	0.0	0.0
22	nan	0.0	0.0	0.0	0.0
23	nan	0.0	0.0	0.0	0.0
24	nan	0.0	0.0	0.0	0.0
25	nan	0.0	0.0	0.0	0.0
26	nan	0.0	0.0	0.0	0.0
27	nan	0.0	0.0	0.0	0.0
28	nan	0.0	0.0	0.0	0.0
29	nan	0.0	0.0	0.0	0.0
30	nan	0.0	0.0	0.0	0.0
31	nan	0.0	0.0	0.0	0.0
32	nan	0.0	0.0	0.0	0.0
33	nan	0.0	0.0	0.0	0.0
34	nan	0.0	0.0	0.0	0.0
35	nan	0.0	0.0	0.0	0.0
36	nan	0.0	0.0	0.0	0.0
37	nan	0.0	0.0	0.0	0.0
38	nan	0.0	0.0	0.0	0.0
39	nan	0.0	0.0	0.0	0.0
40	nan	0.0	0.0	0.0	0.0
41	nan	0.0	0.0	0.0	0.0
42	nan	0.0	0.0	0.0	0.0
43	nan	0.0	0.0	0.0	0.0
44	nan	0.0	0.0	0.0	0.0
45	nan	0.0	0.0	0.0	0.0
46	nan	0.0	0.0	0.0	0.0
47	nan	0.0	0.0	0.0	0.0
48	nan	0.0	0.0	0.0	0.0
49	nan	0.0	0.0	0.0	0.0
50	nan	0.0	0.0	0.0	0.0
51	nan	0.0	0.0	0.0	0.0
52	nan	0.0	0.0	0.0	0.0
53	nan	0.0	0.0	0.0	0.0
54	nan	0.0	0.0	0.0	0.0
55	nan	0.0	0.0	0.0	0.0
56	nan	0.0	0.0	0.0	0.0
57	nan	0.0	0.0	0.0	0.0
58	nan	0.0	0.0	0.0	0.0
59	nan	0.0	0.0	0.0	0.0
60	nan	0.0	0.0	0.0	0.0
61	nan	0.0	0.0	0.0	0.0
62	nan	0.0	0.0	0.0	0.0
63	nan	0.0	0.0	0.0	0.0
64	nan	0.0	0.0	0.0	0.0
65	nan	0.0	0.0	0.0	0.0
66	nan	0.0	0.0	0.0	0.0
67	nan	0.0	0.0	0.0	0.0
68	nan	0.0	0.0	0.0	0.0
69	nan	0.0	0.0	0.0	0.0
70	nan	0.0	0.0	0.0	0.0
71	nan	0.0	0.0	0.0	0.0
72	nan	0.0	0.0	0.0	0.0
73	nan	0.0	0.0	0.0	0.0
74	nan	0.0	0.0	0.0	0.0
75	nan	0.0	0.0	0.0	0.0
76	nan	0.0	0.0	0.0	0.0
77	nan	0.0	0.0	0.0	0.0
78	nan	0.0	0.0	0.0	0.0
79	nan	0.0	0.0	0.0	0.0
80	nan	0.0	0.0	0.0	0.0
81	nan	0.0	0.0	0.0	0.0
82	nan	0.0	0.0	0.0	0.0
83	nan	0.0	0.0	0.0	0.0
84	nan	0.0	0.0	0.0	0.0
85	nan	0.0	0.0	0.0	0.0
86	nan	0.0	0.0	0.0	0.0
87	nan	0.0	0.0	0.0	0.0
88	nan	0.0	0.0	0.0	0.0
89	nan	0.0	0.0	0.0	0.0
